timestamp,event_type,position_id,event_name,strike,side,order_type,tokens,entry_price,exit_price,invested_usd,realized_pnl_usd,roi_pct,entry_edge_pct,entry_reason,close_reason,runtime_min
2026-03-08T20:05:45.518384+00:00,OPEN,65f8b5ef,Ethereum above ___ on March 12?,1900,NO,MAKER_POST_ONLY,16.87,0.3110,,5.25,,,-7.03,edge=-7.0% kelly=0.035→0.005 iv=86.4% T=3.8d deribit=12MAR26 tier=3.0%,,
2026-03-08T20:10:23.767168+00:00,OPEN,9d016a5d,Ethereum above ___ on March 9?,1900,NO,TAKER_FAK,3.00,0.2200,,0.66,,,-6.63,edge=-6.6% kelly=0.033→0.005 iv=100.9% T=0.8d deribit=9MAR26 tier=3.0%,,
2026-03-08T20:10:30.016531+00:00,OPEN,84fcc4ef,Ethereum above ___ on March 11?,1900,NO,TAKER_FAK,4.05,0.3200,,1.30,,,-5.39,edge=-5.4% kelly=0.039→0.006 iv=87.6% T=2.8d deribit=11MAR26 tier=3.0%,,
2026-03-08T22:01:06.191340+00:00,OPEN,a2296d10,Ethereum above ___ on March 10?,1900,NO,TAKER_FAK,18.28,0.3100,,5.67,,,-8.31,edge=-8.3% kelly=0.038→0.006 iv=90.0% T=1.7d deribit=10MAR26 tier=3.0%,,
2026-03-08T22:03:33.271945+00:00,OPEN,f5830ecf,Ethereum above ___ on March 11?,1800,NO,TAKER_FAK,36.34,0.1380,,5.02,,,-8.87,edge=-8.9% kelly=0.033→0.005 iv=91.8% T=2.7d deribit=11MAR26 tier=5.0%,,
2026-03-08T22:03:39.844759+00:00,CLOSE,9d016a5d,Ethereum above ___ on March 9?,1900,NO,TAKER_FAK,3.00,0.2200,0.3300,0.66,0.3300,50.00,-6.63,edge=-6.6% kelly=0.033→0.005 iv=100.9% T=0.8d deribit=9MAR26 tier=3.0%,TP:DYNAMIC_GREED_TP (+50% k=0.430 tgt=0.291),113.3
2026-03-08T23:05:04.356755+00:00,CLOSE,a2296d10,Ethereum above ___ on March 10?,1900,NO,TAKER_FAK,18.28,0.3100,0.3300,5.67,0.3655,6.45,-8.31,edge=-8.3% kelly=0.038→0.006 iv=90.0% T=1.7d deribit=10MAR26 tier=3.0%,TP:tp_hit_liquid,64.0
2026-03-08T23:39:01.171479+00:00,OPEN,30b8204d,Ethereum above ___ on March 13?,1700,NO,TAKER_FAK,10.00,0.0700,,0.70,,,-7.32,edge=-7.3% kelly=0.033→0.005 iv=100.8% T=4.7d deribit=13MAR26 tier=5.0%,,
2026-03-09T00:05:50.761675+00:00,CLOSE,84fcc4ef,Ethereum above ___ on March 11?,1900,NO,TAKER_FAK,4.05,0.3200,0.3600,1.30,0.1620,12.50,-5.39,edge=-5.4% kelly=0.039→0.006 iv=87.6% T=2.8d deribit=11MAR26 tier=3.0%,TP:tp_hit_liquid,235.3
2026-03-09T00:36:48.678784+00:00,OPEN,b1a70386,Ethereum above ___ on March 11?,2000,YES,TAKER_FAK,14.95,0.3400,,5.08,,,4.11,edge=4.1% kelly=0.034→0.005 iv=81.0% T=2.6d deribit=11MAR26 tier=1.5%,,
2026-03-09T01:34:37.308669+00:00,CLOSE,65f8b5ef,Ethereum above ___ on March 12?,1900,NO,MAKER_POST_ONLY,16.87,0.3110,0.3300,5.25,0.3205,6.11,-7.03,edge=-7.0% kelly=0.035→0.005 iv=86.4% T=3.8d deribit=12MAR26 tier=3.0%,TP:tp_hit_liquid,328.9
2026-03-09T02:36:30.935251+00:00,OPEN,3dd6569f,Ethereum above ___ on March 10?,2000,YES,TAKER_FAK,17.63,0.2900,,5.11,,,3.96,edge=4.0% kelly=0.034→0.005 iv=83.9% T=1.6d deribit=10MAR26 tier=1.5%,,
2026-03-09T03:09:10.838517+00:00,CLOSE,3dd6569f,Ethereum above ___ on March 10?,2000,YES,TAKER_FAK,17.63,0.2900,0.4200,5.11,2.2918,44.83,3.96,edge=4.0% kelly=0.034→0.005 iv=83.9% T=1.6d deribit=10MAR26 tier=1.5%,TP:DYNAMIC_GREED_TP (+45% k=0.535 tgt=0.332),32.7
2026-03-09T03:10:46.752179+00:00,OPEN,d2c85cc5,Ethereum above ___ on March 12?,2000,YES,MAKER_POST_ONLY,16.94,0.3510,,5.95,,,5.44,edge=5.4% kelly=0.040→0.006 iv=81.1% T=3.5d deribit=12MAR26 tier=3.0%,,
